Approach,Overall IoU,Window IoU,Overall IoU (std),Window IoU (std),Facades count
MaskRCNN,0.5155557822088058,0.3567082283632553,0.0767156182203149,0.03557552227260073,3
Fusion (after boxes),0.47212798956964325,0.46671016254344827,0.041866450850214995,0.03887726002727588,3
Fusion (before boxes),0.4265415984998406,0.4198734794477623,0.04728925115582271,0.043864266249976094,3
UNet,0.18152451137882544,0.1783641255967129,0.1113522209693244,0.10954927341768617,3
