Approach,Overall IoU,Overall IoU (std),Window IoU,Window IoU (std),Overall Precision,Overall Precision (std),Window Precision,Window Precision (std),Overall Recall,Overall Recall (std),Window Recall,Window Recall (std),Overall F1,Overall F1 (std),Window F1,Window F1 (std),Facades count
MaskRCNN,0.5155557822088058,0.07671561822031485,0.3567082283632553,0.03557552227260073,0.6179877574780425,0.041591287212573304,0.5865323629415256,0.01794497766661594,0.7525141546737576,0.1035693548442841,0.4766175281315402,0.05334804507668234,0.6780772528520203,0.06743820652642253,0.5251615169850529,0.039025748433024,3
Fusion (after boxes),0.47212798956964325,0.041866450850214953,0.46671016254344827,0.03887726002727584,0.665393246018173,0.058924642408044015,0.6646538225625239,0.05841411347855416,0.618322198890139,0.021719738864833547,0.6101072178175199,0.019872852236121643,0.6406777389311816,0.03928053410409475,0.6357591210743987,0.0365007091276376,3
Fusion (before boxes),0.42654159849984047,0.047289251155822686,0.4198734794477623,0.04386426624997608,0.6894345822798696,0.08156843977303507,0.6891606389695667,0.08095569192424747,0.5271608156155806,0.025423713092543865,0.5175140543168882,0.022187899015141142,0.5969605218326848,0.04739533265892243,0.590511179932682,0.04431192021544307,3
UNet,0.18152451137882544,0.11135222096932439,0.17836412559671289,0.10954927341768615,0.8054233657816322,0.1590638466640873,0.8049152794567361,0.1597735915212084,0.1868163596199602,0.11327851846138076,0.1834167335236241,0.11120635923779279,0.29677824334944236,0.16713528045603715,0.2925371469436849,0.1646240487074977,3
